is_superhost,avg_num_reviews,avg_num_days_booked_in_next_year,avg_num_yrs_as_host,avg_response_rate,percent_with_id_verified,percent_with_profile_pic,avg_num_host_verifications,avg_num_listings,avg_total_num_listings,avg_num_beds,avg_price,avg_num_amenities
"NOT SUPERHOST",37,183.30,6.59,92.34,0.8941,0.9667,2.01,20.07,29.99,2.21,163.04,26.39
SUPERHOST,90,165.85,7.20,99.2,0.9792,0.9854,2.04,5.16,6.33,2.24,176.03,35.63
